UEI,Start_Date,End_Date,Duration,Main_Cause,Location,Districts,State,Latitude,Longitude,Severity,Area_Affected,Human_fatality,Human_injured,Human_Displaced,Animal_Fatality,Description_of_Casualties_injured,Extent_of_damage ,Event_Source,Event_Souce_ID
10.42.0.211-104.192.108.27-53831-80-6,23-09-21,23-09-21,0,Heavy Rain,NA,"Dindigul, Erode and Virudhunagar",TAMIL NADU,NA,NA,NA,NA,2,NA,NA,NA,2 persons washed away in Erode and other died in Virudhunagar.,12 houses damaged due to landslide in Kodaikanal.,IMD,NA
10.42.0.211-31.13.71.1-59911-443-6,09-06-21,09-09-21,92,Heavy Rain,NA,"Adilabad, Khammam, Karimnagar and Warangal",TELANGANA,NA,NA,NA,NA,4,NA,NA,NA,4 persons died.,"i) Exrensive damage to crops in 11,777 hectares reported. ii) Damage to about 963 houses reported.",IMD,NA
10.42.0.1-10.42.0.42-53-41491-17,27-10-21,27-10-21,0,Heavy Rain,NA,Nalgonda,TELANGANA,NA,NA,NA,NA,NA,NA,NA,NA,NA,"Damage to the paddy, cotton crops reported.",IMD,NA
173.194.175.138-10.42.0.211-443-49892-6,19-06-21,25-06-21,6,Cyclone and Flood,NA,Parts of Tripura,TRIPURA,NA,NA,NA,NA,NA,NA,NA,NA,NA,400 families rendered homeless.,IMD,NA
172.217.3.110-10.42.0.151-443-52887-6,14-08-21,27-08-21,13,Heavy Rain,NA,"Most parts of Uttar Pradesh ( the worst affected districts Bahraich, Shravasti, Balrampur, Gonda, Barabanki, Lakhimpur Khiri, Sitapur, Faizabad, Basti, Sant Kabir Nagar, Azamgarh, Muzaffarnagar and Siddharth Nagar).",UTTAR PRADESH,NA,NA,NA,NA,82,NA,NA,NA,82 persons died including 6 persons as a boat carrying 6 persons in Rapti river drowned while 12 swept away in Bahraich district in Ghagra river.,"i) Extensive damage to the sugar cane and other crops reported. ii) More than 3 lakh people in about 1500 villages worst affected. iii)Traffic at NH-28 affected. iv)Damage worth crores rupees with crops, cattle and kachcha houses washed away. v) Many people shifted to safer places.",IMD,NA
10.42.0.211-10.42.0.1-43518-53-17,27-07-21,27-07-21,0,Cyclone and Flood,NA,Pithoragarh,UTTARAKHAND,NA,NA,NA,NA,6,NA,NA,NA,6 persons died in a landslide in Pangla village.,NA,IMD,NA
172.217.10.104-10.42.0.211-443-39945-6,31-07-21,31-07-21,0,Cyclone and Flood,NA,Tehri Garhwal,UTTARAKHAND,NA,NA,NA,NA,5,NA,NA,NA,5 persons died in a landslide in Navthana village.,NA,IMD,NA
10.42.0.211-54.230.36.192-45765-80-6,08-11-21,08-11-21,0,Cyclone and Flood,NA,Parts of Uttarakhand,UTTARAKHAND,NA,NA,NA,NA,5,NA,NA,NA,5 persons died.,NA,IMD,NA
10.42.0.42-85.93.5.83-57931-80-6,14-06-21,14-06-21,0,Heavy Rain,NA,"Adilabad, Karimnagar and Warangal",ANDHRA PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,Damage to 3 houses reported.,IMD,NA
10.42.0.211-10.42.0.1-6135-53-17,07-12-21,07-12-21,0,Cyclone and Flood,NA,"Adilabad, Karimnagar, Khammam, Hyderabad and Visakhapatnam",ANDHRA PRADESH,NA,NA,NA,NA,12,NA,NA,NA,12 persons died.,i) Trees/poles uprooted. ii) Rail/road/air traffic disrupted. iii) Roads and houses submerged.,IMD,NA
10.42.0.151-10.42.0.1-56730-53-17,16-07-21,25-07-21,9,Heavy Rain,NA,"Adilabad, Khammam , Warangal and West Godavari",ANDHRA PRADESH,NA,NA,NA,NA,1,NA,NA,NA,One person died in Adilabad.,"i) Damage to 3 lakhs acres and 69,000 ha. of crop land reported. ii) About 1.10 lakh tones of coal production submerged. iii) More than 250 houses damaged in Adilabad, East & West Godavari, Khammam and Waranga. iv) About 1,475 houses submerged. v) 3,877 km. roads damaged.",IMD,NA
10.42.0.151-66.198.24.253-48777-443-6,31-07-21,31-07-21,0,Cyclone and Flood,NA,Adilabad,ANDHRA PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,NA,IMD,NA
169.47.5.252-10.42.0.211-443-41851-6,08-01-21,08-04-21,90,Heavy Rain,NA,"East Godavari, Khammam, Nalgonda and Warangal",ANDHRA PRADESH,NA,NA,NA,NA,4,NA,NA,NA,4 persons died and other missing.,1 Aug.: 1.5 lakh coal production loss in Adilabad. 3 Aug.: 140 villages submerged in Khammam and East Godavari. 4 Aug.: 68 villages submerged.,IMD,NA
157.240.0.17-10.42.0.211-443-47114-6,16-08-21,17-08-21,1,Cyclone and Flood,NA,"Khammam, Nalgonda and Prakasam",ANDHRA PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,"i) 85 villages submerged. ii) Damage to crops in 10,000 hectares area in Nalgonda and 2,500 acres crops in Prakasam reported.",IMD,NA
10.42.0.211-23.219.23.167-53385-80-6,13-09-21,13-09-21,0,Heavy Rain,NA,Guntur and Kadapa,ANDHRA PRADESH,NA,NA,NA,NA,2,NA,NA,NA,2 persons died.,i) Damage to 350 houses reported. ii) 2580 acres of crops damaged. iii) 4500 acres paddy crops damaged in Guntur.,IMD,NA
172.217.12.202-10.42.0.211-443-57200-6,10-11-21,14-10-21,Diffing the dates,Heavy Rain,NA,"Srikakulam, Visakhapatnam and Vizianagaram",ANDHRA PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,i) One person died. ii) 99 livestock perished.,"i) 5,233 hectare agricultural crops, 7,000 hectares horticultural crops damaged. ii) 1,720 houses damaged. iii) 70 km. roads damaged. iv) Damage to 3,602 boats & nets reported.",IMD,NA
10.42.0.211-104.97.95.172-45818-80-6,20-10-21,28-10-21,8,Cyclone and Flood,NA,"East Godavari, Kadapa, Karimnagar, Krishna, Kurnool, Mahboobnagar, Nalgonda, Hyderabad, Prakasam, Visakhapatnam, Warangal and West Godavari",ANDHRA PRADESH,NA,NA,NA,NA,53,6,NA,1912,i) 53 persons died and 6 others missing. ii) About 1912 animals perished.,"i) About 48,434 houses damaged. ii) Agricultural loss 11.37 hectares reported. iii) 1721 boats and 3366 nets damaged. iv) Damage to 4707.75 kms. street roads reported. v) Damage to 688.28 kms. urban infrastructure reported. vi) Damage to 2589.36 kms. public and private roads reported.",IMD,NA
202.77.129.54-10.42.0.211-80-49358-6,26-06-21,29-06-21,3,Heavy Rain,NA,"Changlang, Dibang Valley, Lohit and Upper Subansiri",ARUNACHAL PRADESH,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Extensive damage to standing crops  reported. ii) About 50 houses inundated and few washed away. iii) Sipo and Sikut Hydroproject affected.,IMD,NA
172.217.10.66-10.42.0.211-443-34728-6,16-05-21,16-05-21,0,Cyclone and Flood,NA,Parts of Assam,ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,i) Damage to about 50 acres of cultivated land reported. ii) More than 20 villages affected.,IMD,NA
174.35.73.108-10.42.0.42-443-38227-6,29-05-21,29-05-21,0,Cyclone and Flood,NA,Golaghat and Kamrup,ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) About 15,000 people of 60 villages badly affected. ii) About 550 hectares of cropland affected.",IMD,NA
10.42.0.211-98.139.199.204-43183-443-6,26-06-21,30-06-21,4,Heavy Rain,NA,"Dhemaji, Golaghat, Jorhat, Morigaon, Kamrup, Lakhimpur, Sibsagar and Tinsukia.",ASSAM,NA,NA,NA,NA,NA,NA,NA,NA,NA,"i) More than 40,000 people of 125 villages in Dhemaji district affected. ii) About 2,000 hectares of crop land affected.",IMD,NA
